y_true,y_pred,y_prob
0,0,0.00566308107227087
0,0,1.9325589164509438e-05
0,0,1.6863179553183727e-05
0,0,0.0062710558995604515
0,0,0.014913633465766907
0,0,0.0009385464945808053
0,0,0.0015298714861273766
0,0,0.047968849539756775
0,0,4.771312524098903e-05
0,0,1.706213333818596e-05
0,0,4.771184831042774e-05
0,0,0.007594982162117958
0,0,4.77132125524804e-05
0,0,0.0002225824719062075
0,0,0.0016192557523027062
0,0,0.0021236359607428312
0,0,0.003312569111585617
0,0,4.771225940203294e-05
1,1,0.9876605272293091
0,0,0.0015922391321510077
0,0,0.0017774936277419329
0,0,4.7712030209368095e-05
0,0,0.00022016822185833007
0,0,1.6844742276589386e-05
0,0,0.0007186256698332727
0,0,0.00695083849132061
1,1,0.9985142350196838
0,0,0.42516568303108215
0,0,1.6791878806543536e-05
0,0,0.005210495088249445
0,0,0.0015505783958360553
